
" Superior Kibble
","7
","0
","0
","0
","0:16:47
"
" Raw Mutton
","14
","0
","0
","0
","0:31:31
"
" Cooked Lamb Chop
","25
","5
","1
","1
","0:56:12
"
" Raw Prime Meat
","17
","0
","0
","0
","0:38:16
"
" Cooked Prime Meat
","34
","72
","15
","8
","1:16:25
"
" Raw Prime Fish Meat
","42
","0
","0
","0
","0:47:16
"
" Raw Meat
","50
","192
","40
","20
","1:52:31
"
" Cooked Prime Fish Meat
","84
","141
","29
","15
","1:37:06
"
" Cooked Meat
","100
","192
","40
","20
","1:52:31
"
" Raw Fish Meat
","125
","285
","59
","30
","2:20:38
"
" Cooked Fish Meat
","250
","285
","59
","30
","2:20:38
"
"KO:  × 165;  × 68;  × 19;  × 11;  × 8;  × 4
"
"Torpidity-depletion: 0.5 / s, Time until all torpidity is depleted: 00:54:58
"
