 Creature ,   Health ,   Stamina ,   Oxygen ,   Food ,   Weight ,  Base Damage ,   Movement Speed ,   Torpidity 
 Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +T , Level 1 , +W 
   Achatina ,75, 15 , 5.4 ,100, 10 ,10 ,, , ,450, 45 ,10 ,150, 3 ,4 ,0 , 0  ,1.7 ,100,1 ,50 , 3
   Allosaurus ,630, 126 , 5.4 ,250, 25 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,380, 7.6 ,4 ,35 / 25, 1.75 / 1.25 ,1.7 ,100,1 ,1000 , 60
   Alpha Basilisk ,19500, 3900 , ,650, 65 ,0 ,, , ,2500, 250 ,0 ,2200, 44 ,0 ,55 / 120, 2.75 / 6 ,0 ,100, ,175 , 10.5
   Alpha Blood Crystal Wyvern ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
   Alpha Carnotaurus ,6400, 1280 , ,300, 30 ,0 ,, , ,2000, 200 ,0 ,300, 6 ,0 ,80 , 4  ,0 ,100, ,350 , 21
   Alpha Deathworm ,27000, 54 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,500 , 25  ,0 ,100, ,100 , 6
   Alpha Fire Wyvern ,8000, 1200 , ,600, 30 ,0 ,150, 15 ,0 ,2000, 200 ,0 ,400, 8 ,0 ,140 / 18, 7 / 0.9 ,0 ,100, ,725 , 43.5
   Alpha Karkinos ,20400, 4080 , ,600, 60 ,0 ,, , ,5000, 500 ,0 ,800, 16 ,0 ,160 / 185, 8 / 9.25 ,0 ,100, ,800 , 48
   Alpha Leedsichthys ,4400, 528 , ,500, 50 ,0 ,, , ,8000, 800 ,0 ,1800, 36 ,0 ,160 , 0  ,0 ,100, ,4500 , 270
   Alpha Megalodon ,9600, 1920 , ,320, 32 ,0 ,, , ,2000, 200 ,0 ,250, 5 ,0 ,60 , 3  ,0 ,100, ,800 , 48
   Alpha Mosasaur ,54000, 6480 , ,400, 40 ,0 ,, , ,8000, 800 ,0 ,1300, 26 ,0 ,200 , 10  ,0 ,100, ,3000 , 180
   Alpha Raptor ,3600, 720 , ,150, 15 ,0 ,, , ,1200, 120 ,0 ,140, 2.8 ,0 ,40 , 2  ,0 ,100, ,180 , 10.8
   Alpha Surface Reaper King ,42500, 8500 , ,480, 48 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,415, 8.3 ,0 ,180 / 10, 9 / 0.5 ,0 ,100, ,925 , 55.5
   Alpha T-Rex ,17500, 3500 , ,420, 42 ,0 ,, , ,3000, 300 ,0 ,500, 10 ,0 ,170 , 8.5  ,0 ,100, ,1550 , 93
   Alpha Tusoteuthis ,30000, 6000 , ,300, 30 ,0 ,, , ,3200, 320 ,0 ,800, 16 ,0 ,130 / 2, 6.5 / 0.1 ,0 ,100, ,1800 , 108
   Alpha X-Triceratops ,3500, 1050 , ,150, 15 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,365, 7.3 ,0 ,48 , 2.4  ,0 ,100, ,250 , 15
   Ammonite ,165, 33 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,150, 3 ,0 ,0 , 0  ,0 ,100, ,50 , 3
   Anglerfish ,450, 90 , 5.4 ,240, 24 ,10 ,150, 15 ,0 ,1500, 150 ,10 ,350, 7 ,4 ,30 , 1.5  ,1.7 ,100,1 ,900 , 54
   Ankylosaurus ,700, 140 , 5.4 ,175, 17.5 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,250, 5 ,4 ,50 / 30, 2.5 / 1.5 ,1.7 ,100,2 ,420 , 25.2
   Araneo ,150, 30 , 2.7 ,100, 10 ,10 ,150, 15 ,10 ,900, 90 ,10 ,100, 2 ,8 ,10 / 5, 0.5 / 0.25 ,1.7 ,100,1 ,80 , 4.8
   Archaeopteryx ,125, 25 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,900, 90 ,10 ,30, 0.6 ,4 ,5 , 0.25  ,1.7 ,100,1 ,100 , 6
   Argentavis ,365, 73 , 6.076 ,400, 20 ,7.5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,5.5 ,25 / 12, 1.25 / 0.6 ,2.55 ,100, ,600 , 36
   Argentustus ,60000, 12000 , ,750, 75 , ,150, 15 , ,2000, 200 , ,350, 7 , ,? , ,0 ,100, ,600 , 36
   Arthropluera (Corrupted) ,500, 100 , ,200, 20 ,0 ,, , ,1200, 120 ,0 ,100, 2 ,0 ,18 , 0.9  ,0 ,100, ,175 , 10.5
   Arthropluera ,500, 100 , 5.4 ,200, 20 ,10 ,, , ,1200, 120 ,10 ,100, 2 ,4 ,18 / 30, 0.9 / 1.5 ,1.7 ,100,1 ,175 , 10.5
   Arthropluera (Aberrant) ,500, 100 , 5.4 ,200, 20 ,10 ,, , ,1200, 120 ,10 ,100, 2 ,4 ,18 , 0.9  ,1.7 ,100,1 ,175 , 10.5
   Astrocetus ,2800, 392 , 2.16 ,600, 30 ,5 ,, , ,6000, 600 ,10 ,2000, 40 ,5 ,29 , 1.16  ,1.7 ,100,1 ,4200 , 252
   Attack Drone (Gamma) ,145.8, 29.16 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,28 , 1.4  ,1.7 ,100, ,450 , 27
   Attack Drone (Beta) ,585, 117 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,28 , 1.4  ,1.7 ,100, ,450 , 27
   Attack Drone (Alpha) ,877.5001, 175.50002 , 5.4 ,250, 12.5 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,28 , 1.4  ,1.7 ,100, ,450 , 27
   Baryonyx ,440, 88 , 5.4 ,325, 32.5 ,10 ,225, 22.5 ,0 ,2250, 225 ,10 ,325, 6.5 ,4 ,35 / 25, 1.75 / 1.25 ,1.7 ,100,1 ,400 , 24
   Basilisk ,2750, 550 , 5.4 ,650, 65 ,10 ,, , ,2500, 250 ,10 ,2200, 44 ,4 ,55 / 120, 2.75 / 6 ,1.7 ,100,1 ,175 , 10.5
   Basilosaurus ,2400, 480 , 4.86 ,300, 30 ,10 ,150, 15 ,0 ,8000, 800 ,10 ,700, 14 ,4 ,47 , 2.35  ,1.7 ,100,1 ,2000 , 120
   Beelzebufo ,220, 44 , 5.4 ,190, 19 ,10 ,150, 15 ,0 ,1500, 150 ,10 ,160, 3.2 ,4 ,12 / 20, 0.6 / 1 ,1.7 ,100,1 ,200 , 12
   Beelzemorbus ,60000, 12000 , ,450, 45 , ,150, 15 , ,2500, 250 , ,2500, 50 , ,? , ,0 ,100, ,300 , 18
   Bloodstalker ,450, 90 , 5.4 ,600, 60 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,350, 7 ,4 ,26 , 1.3  ,1.7 ,100,1.5 ,180 , 10.8
   Bone Fire Wyvern ,8000, 1200 , ,600, 30 ,0 ,150, 15 ,0 ,2000, 200 ,0 ,400, 8 ,0 ,140 , 7  ,0 ,100, ,725 , 43.5
   Brontosaurus ,2070, 414 , 2.508 ,240, 24 ,10 ,150, 15 ,10 ,10000, 1000 ,10 ,1600, 32 ,4 ,60 , 3  ,1.7 ,100,2 ,2000 , 120
   Broodgenetrix ,60000, 12000 , ,150, 15 , ,150, 15 , ,1500, 150 , ,4000, 80 , ,? , ,0 ,100, ,100000 , 6000
   Broodmother Lysrix (Gamma) ,324000, 64800 , ,150, 15 ,0 ,, , ,1500, 150 ,0 ,4000, 80 ,0 ,180 , 9  ,0 ,100, ,100000 , 6000
   Broodmother Lysrix (The Center Gamma) ,356400, 71280 , ,150, 15 ,0 ,, , ,1500, 150 ,0 ,4000, 80 ,0 ,210 , 10.5  ,0 ,100, ,100000 , 6000
   Broodmother Lysrix (The Center Beta) ,421200, 84240 , ,150, 15 ,0 ,, , ,1500, 150 ,0 ,4000, 80 ,0 ,280 , 14  ,0 ,100, ,100000 , 6000
   Broodmother Lysrix (The Center Alpha) ,486000, 97200 , ,150, 15 ,0 ,, , ,1500, 150 ,0 ,4000, 80 ,0 ,700 , 35  ,0 ,100, ,100000 , 6000
   Broodmother Lysrix (Beta) ,648000, 97200 , ,150, 15 ,0 ,, , ,1500, 150 ,0 ,4000, 80 ,0 ,320 , 11.2  ,0 ,100, ,100000 , 6000
   Broodmother Lysrix (Alpha) ,972000, 243000 , ,150, 15 ,0 ,, , ,1500, 150 ,0 ,4000, 80 ,0 ,540 , 40.5  ,0 ,100, ,100000 , 6000
