
" Superior Kibble
","24
","0
","0
","0
","0:45:02
"
" Giant Bee Honey
","24
","190
","49
","25
","1:07:36
"
" Raw Mutton
","51
","422
","108
","54
","1:29:47
"
" Cooked Lamb Chop
","94
","1212
","308
","154
","2:45:18
"
" Raw Prime Meat
","64
","662
","168
","84
","1:52:40
"
" Cooked Prime Meat
","127
","1819
","462
","231
","3:43:19
"
" Raw Prime Fish Meat
","159
","947
","241
","121
","2:19:57
"
" Raw Meat
","190
","2982
","758
","379
","5:34:28
"
" Cooked Prime Fish Meat
","317
","2482
","631
","316
","4:46:40
"
" Mejoberry
","317
","2986
","758
","379
","5:34:49
"
" Cooked Meat
","380
","2982
","758
","379
","5:34:28
"
" Berries
","475
","2982
","758
","379
","5:34:28
"
" Raw Fish Meat
","475
","3857
","980
","490
","6:58:05
"
" Cooked Fish Meat
","950
","3857
","980
","490
","6:58:05
"
"KO:  × 814;  × 333;  × 91;  × 52;  × 37;  × 19
"
"Torpidity-depletion: 2.75 / s, Time until all torpidity is depleted: 00:49:28
"
