
" Superior Kibble
","6
","0
","0
","0
","0:11:16
"
" Giant Bee Honey
","6
","0
","0
","0
","0:16:54
"
" Raw Mutton
","11
","5
","1
","1
","0:19:22
"
" Cooked Lamb Chop
","21
","98
","22
","11
","0:36:56
"
" Raw Prime Meat
","14
","33
","8
","4
","0:24:39
"
" Cooked Prime Meat
","28
","163
","36
","18
","0:49:15
"
" Raw Prime Fish Meat
","35
","66
","15
","8
","0:30:49
"
" Raw Meat
","42
","294
","64
","32
","1:13:56
"
" Cooked Prime Fish Meat
","69
","233
","51
","26
","1:02:24
"
" Mejoberry
","69
","288
","63
","32
","1:12:53
"
" Cooked Meat
","83
","289
","63
","32
","1:13:04
"
" Berries
","104
","290
","63
","32
","1:13:14
"
" Raw Fish Meat
","104
","387
","84
","42
","1:31:33
"
" Cooked Fish Meat
","207
","385
","84
","42
","1:31:06
"
"KO:  × 100;  × 41;  × 12;  × 7;  × 5;  × 3
"
"Torpidity-depletion: 0.9 / s, Time until all torpidity is depleted: 00:18:31
"
