

"  Allosaurus
","26
","32
","79
","90
","
","1:39
","4:37
","18:31
","23:08
","1d 22:17
","18:00–48:00
"
"  Anglerfish
","-75
","75
","-103
","167
","
","4:59
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Ankylosaurus
","16
","20
","61
","68
","
","2:37
","4:52
","19:29
","1d 00:21
","2d 00:43
","18:00–48:00
"
"  Archaeopteryx
","16
","20
","61
","68
","
","2:37
","1:32
","6:10
","7:42
","15:25
","18:00–48:00
"
"  Argentavis
","12
","13.5
","54
","56
","
","2:56
","5:26
","21:47
","1d 03:13
","2d 06:27
","18:00–48:00
"
"  Baryonyx
","29
","35
","84
","95
","
","1:59
","4:37
","18:31
","23:08
","1d 22:17
","18:00–48:00
"
"  Beelzebufo
","0
","50
","32
","122
","
","4:59
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Bloodstalker
","27
","30
","81
","86
","
","2:56
","5:26
","21:47
","1d 03:13
","2d 06:27
","18:00–48:00
"
"  Brontosaurus
","28
","31
","82
","88
","
","4:59
","9:15
","1d 13:02
","1d 22:17
","3d 20:35
","18:00–48:00
"
"  Carbonemys
","30
","34
","86
","93
","
","1:14
","2:18
","9:15
","11:34
","23:08
","18:00–48:00
"
"  Carnotaurus
","26
","32
","79
","90
","
","1:39
","4:37
","18:31
","23:08
","1d 22:17
","18:00–48:00
"
"  Compy
","24
","32
","75
","90
","
","0:49
","9:15
","1d 13:02
","1d 22:17
","3d 20:35
","18:00–48:00
"
"  Crystal Wyvern
","75
","85
","167
","185
","
","4:59
","9:15
","1d 13:02
","1d 22:17
","3d 20:35
","18:00–48:00
"
"  Deinonychus
","80
","90
","176
","194
","
","4:59
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Dilophosaur
","28
","32
","82
","90
","
","1:08
","2:06
","8:25
","10:31
","21:02
","18:00–48:00
"
"  Dimetrodon
","30
","34
","86
","93
","
","2:29
","4:37
","18:31
","23:08
","1d 22:17
","18:00–48:00
"
"  Dimorphodon
","35
","38
","95
","100
","
","1:21
","2:30
","10:00
","12:30
","1d 01:01
","18:00–48:00
"
"  Diplocaulus
","0
","50
","32
","122
","
","4:59
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Diplodocus
","26
","29
","79
","84
","
","4:59
","9:15
","1d 13:02
","1d 22:17
","3d 20:35
","18:00–48:00
"
"  Dodo
","22
","30
","72
","86
","
","0:49
","1:32
","6:10
","7:42
","15:25
","18:00–48:00
"
"  Electrophorus
","0
","50
","32
","122
","
","4:59
","4:37
","18:31
","23:08
","1d 22:17
","18:00–48:00
"
"  Featherlight
","29
","32
","84
","90
","
","1:39
","4:52
","19:29
","1d 00:21
","2d 00:43
","18:00–48:00
"
"  Gallimimus
","24
","28
","75
","82
","
","1:25
","2:38
","10:34
","13:13
","1d 02:27
","18:00–48:00
"
"  Giganotosaurus
","43
","44
","109
","111
","
","2d 01:59
","1d 04:03
","4d 16:14
","5d 20:17
","11d 16:35
","18:00–48:00
"
"  Glowtail
","30
","34
","86
","93
","
","2:29
","4:52
","19:29
","1d 00:21
","2d 00:43
","18:00–48:00
"
"  Hesperornis
","22
","30
","72
","86
","
","1:30
","2:48
","11:13
","14:01
","1d 04:03
","18:00–48:00
"
"  Ichthyornis
","29
","32
","84
","90
","
","1:39
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Iguanodon
","24
","28
","75
","82
","
","1:25
","4:37
","18:31
","23:08
","1d 22:17
","18:00–48:00
"
"  Kairuku
","22
","30
","72
","86
","
","1:30
","2:48
","11:13
","14:01
","1d 04:03
","18:00–48:00
"
"  Kaprosuchus
","29
","35
","84
","95
","
","1:59
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Kentrosaurus
","24
","30
","75
","86
","
","2:46
","5:08
","20:34
","1d 01:43
","2d 03:26
","18:00–48:00
"
"  Lystrosaurus
","24
","28
","75
","82
","
","0:49
","1:32
","6:10
","7:42
","15:25
","18:00–48:00
"
"  Magmasaur
","90
","110
","194
","230
","
","4:59
","18:31
","3d 02:04
","3d 20:35
","7d 17:11
","18:00–48:00
"
"  Megachelon
","-75
","75
","-103
","167
","
","4:59
","9:15
","1d 13:02
","1d 22:17
","3d 20:35
","18:00–48:00
"
"  Megalania
","29
","35
","84
","95
","
","1:59
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Megalosaurus
","26
","32
","79
","90
","
","1:39
","9:15
","1d 13:02
","1d 22:17
","3d 20:35
","18:00–48:00
"
"  Microraptor
","24
","28
","75
","82
","
","1:25
","5:26
","21:47
","1d 03:13
","2d 06:27
","18:00–48:00
"
"  Morellatops
","22
","28
","72
","82
","
","2:29
","3:05
","12:20
","15:25
","1d 06:51
","18:00–48:00
"
"  Moschops
","16
","20
","61
","68
","
","2:37
","4:52
","19:29
","1d 00:21
","2d 00:43
","18:00–48:00
"
"  Oviraptor
","26
","30
","79
","86
","
","1:08
","2:06
","8:25
","10:31
","21:02
","18:00–48:00
"
"  Pachy
","24
","28
","75
","82
","
","1:25
","2:38
","10:34
","13:13
","1d 02:27
","18:00–48:00
"
"  Pachyrhinosaurus
","22
","28
","72
","82
","
","2:29
","4:37
","18:31
","23:08
","1d 22:17
","18:00–48:00
"
"  Parasaur
","24
","28
","75
","82
","
","1:25
","2:38
","10:34
","13:13
","1d 02:27
","18:00–48:00
"
"  Pegomastax
","28
","32
","82
","90
","
","1:08
","3:05
","12:20
","15:25
","1d 06:51
","18:00–48:00
"
"  Pelagornis
","29
","32
","84
","90
","
","1:39
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Pteranodon
","29
","32
","84
","90
","
","1:39
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
"  Quetzal
","5
","6
","41
","43
","
","16:39
","18:31
","3d 02:04
","3d 20:35
","7d 17:11
","18:00–48:00
"
"  Raptor
","20
","28
","68
","82
","
","1:59
","3:42
","14:48
","18:31
","1d 13:02
","18:00–48:00
"
