
" Exceptional Kibble
","5
","0
","0
","0
","0:10:40
"
" Raw Mutton
","10
","0
","0
","0
","0:20:00
"
" Cooked Lamb Chop
","18
","2
","1
","1
","0:35:58
"
" Raw Prime Meat
","12
","0
","0
","0
","0:24:00
"
" Cooked Prime Meat
","24
","56
","12
","6
","0:47:57
"
" Raw Prime Fish Meat
","30
","0
","0
","0
","0:30:00
"
" Raw Meat
","36
","164
","35
","18
","1:12:00
"
" Cooked Prime Fish Meat
","60
","118
","25
","13
","1:01:39
"
" Cooked Meat
","72
","164
","35
","18
","1:12:00
"
" Raw Fish Meat
","90
","245
","52
","26
","1:30:00
"
" Cooked Fish Meat
","180
","245
","52
","26
","1:30:00
"
"KO:  × 155;  × 64;  × 18;  × 10;  × 8;  × 4
"
"Torpidity-depletion: 0.73 / s, Time until all torpidity is depleted: 00:35:37
"
