
" Extraordinary Kibble
","6
","0
","0
","0
","0:20:28
"
" Raw Mutton
","12
","0
","0
","0
","0:24:00
"
" Cooked Lamb Chop
","22
","38
","8
","4
","0:43:58
"
" Raw Prime Meat
","15
","0
","0
","0
","0:30:00
"
" Cooked Prime Meat
","30
","110
","24
","12
","0:59:57
"
" Raw Prime Fish Meat
","37
","7
","2
","1
","0:37:00
"
" Raw Meat
","45
","245
","52
","26
","1:30:00
"
" Cooked Prime Fish Meat
","74
","182
","39
","20
","1:16:02
"
" Cooked Meat
","89
","240
","51
","26
","1:29:00
"
" Raw Fish Meat
","111
","339
","72
","36
","1:51:00
"
" Cooked Fish Meat
","222
","339
","72
","36
","1:51:00
"
"KO:  × 155;  × 64;  × 18;  × 10;  × 8;  × 4
"
"Torpidity-depletion: 0.73 / s, Time until all torpidity is depleted: 00:35:37
"
